,0
0,Alabama
1,Colorado
2,Delaware
3,Georgia
4,Idaho
5,Indiana
6,Iowa
7,Maine
8,Maryland
9,Minnesota
10,Mississippi
11,Missouri
12,Montana
13,Nebraska
14,New Hampshire
15,New Jersey
16,North Carolina
17,Ohio
18,Oklahoma
19,Oregon
20,South Carolina
21,Tennessee
22,West Virginia
23,Wisconsin
24,Wyoming
